epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2141.12,1.33235,0.74623,1.04197,0.65679,0.62791,0.72521,0.46729,1.58398,1.83457,1.40734,0.000655625,0.000655625,0.000655625
43,2190.14,1.34095,0.74579,1.0539,0.83366,0.61835,0.73158,0.49324,1.54997,1.39425,1.3585,0.000636762,0.000636762,0.000636762
44,2239.06,1.29113,0.72146,1.04172,0.64762,0.77411,0.74426,0.51296,1.5041,1.55139,1.35674,0.0006179,0.0006179,0.0006179
45,2288.38,1.2945,0.72941,1.02983,0.62111,0.78604,0.71537,0.49765,1.49948,1.36019,1.37706,0.000599037,0.000599037,0.000599037
46,2338.6,1.3124,0.72839,1.03949,0.64405,0.63751,0.70592,0.4738,1.58128,1.84118,1.4187,0.000580174,0.000580174,0.000580174
47,2388,1.30514,0.72286,1.02801,0.69533,0.73054,0.7296,0.4776,1.63268,1.65712,1.48416,0.000561311,0.000561311,0.000561311
48,2437.89,1.31451,0.73094,1.03633,0.69025,0.65674,0.68172,0.46368,1.65097,1.81235,1.49994,0.000542448,0.000542448,0.000542448
49,2487.15,1.30854,0.7361,1.04469,0.73084,0.66239,0.7031,0.49631,1.64579,1.8196,1.48204,0.000523586,0.000523586,0.000523586
50,2536.51,1.27784,0.71385,1.02692,0.70322,0.73651,0.75354,0.54502,1.46536,1.5724,1.37227,0.000504723,0.000504723,0.000504723
51,2586.09,1.26745,0.69909,1.02472,0.65792,0.78645,0.75781,0.52735,1.49134,1.29188,1.38834,0.00048586,0.00048586,0.00048586
52,2635.46,1.28862,0.69537,1.02613,0.66675,0.79555,0.72879,0.47685,1.59835,1.43253,1.42951,0.000466997,0.000466997,0.000466997
53,2685.15,1.24406,0.67885,1.01225,0.74566,0.76032,0.78379,0.54644,1.55508,1.40551,1.45555,0.000448134,0.000448134,0.000448134
54,2735.48,1.28881,0.68913,1.01957,0.67984,0.71009,0.74719,0.51712,1.59894,1.65017,1.46301,0.000429272,0.000429272,0.000429272
55,2785.65,1.26174,0.71353,1.02385,0.58017,0.71566,0.6697,0.46793,1.58217,1.87185,1.45162,0.000410409,0.000410409,0.000410409
56,2835.07,1.27312,0.68845,1.01667,0.77699,0.66301,0.71361,0.49405,1.5199,1.598,1.37849,0.000391546,0.000391546,0.000391546
57,2884.33,1.24087,0.67745,1.0073,0.59547,0.78868,0.74643,0.51491,1.55699,1.4292,1.35805,0.000372683,0.000372683,0.000372683
58,2933.99,1.22178,0.65892,1.01261,0.77591,0.68278,0.74529,0.51859,1.54505,1.7703,1.40873,0.00035382,0.00035382,0.00035382
59,2984.13,1.22717,0.66062,0.99991,0.67584,0.69987,0.71213,0.48363,1.52532,1.7158,1.41775,0.000334958,0.000334958,0.000334958
60,3033.96,1.21096,0.65609,1.00615,0.6836,0.68213,0.70144,0.48596,1.57347,1.91417,1.43593,0.000316095,0.000316095,0.000316095
61,3083.51,1.23936,0.64219,0.99809,0.65321,0.75879,0.75001,0.5078,1.59788,1.69541,1.4214,0.000297232,0.000297232,0.000297232
62,3133.13,1.23329,0.6587,1.00444,0.62598,0.71033,0.67363,0.47256,1.53411,1.7932,1.40043,0.000278369,0.000278369,0.000278369
63,3182.58,1.22666,0.65994,1.00202,0.67333,0.72334,0.71823,0.48267,1.59345,1.64482,1.43322,0.000259506,0.000259506,0.000259506
64,3232.07,1.1815,0.61919,0.99909,0.68409,0.69021,0.71532,0.49716,1.53222,1.8427,1.40657,0.000240644,0.000240644,0.000240644
65,3281.72,1.20314,0.62532,0.99615,0.70242,0.69746,0.75924,0.52766,1.47049,1.35884,1.35533,0.000221781,0.000221781,0.000221781
66,3330.5,1.19066,0.59079,0.99257,0.73803,0.66123,0.72808,0.50203,1.53951,1.4417,1.41934,0.000202918,0.000202918,0.000202918
67,3379.41,1.17629,0.58368,0.98229,0.69756,0.75145,0.7771,0.54155,1.54513,1.39896,1.44065,0.000184055,0.000184055,0.000184055
68,3428.34,1.17083,0.57755,0.98615,0.7327,0.71057,0.80971,0.56723,1.47744,1.18947,1.36931,0.000165192,0.000165192,0.000165192
69,3477.12,1.14353,0.57071,0.97632,0.68699,0.76171,0.73536,0.51612,1.51716,1.34917,1.3818,0.00014633,0.00014633,0.00014633
70,3525.72,1.14542,0.56416,0.97215,0.65426,0.75498,0.75817,0.5298,1.52263,1.33834,1.39711,0.000127467,0.000127467,0.000127467
71,3574.81,1.13185,0.55108,0.95676,0.67251,0.74128,0.75476,0.5221,1.5241,1.38604,1.40304,0.000108604,0.000108604,0.000108604
72,3623.66,1.12571,0.55411,0.96247,0.67297,0.76726,0.75978,0.52244,1.52132,1.31017,1.40194,8.97412e-05,8.97412e-05,8.97412e-05
73,3672.48,1.1322,0.55701,0.96106,0.62552,0.76052,0.7575,0.52948,1.47712,1.36312,1.37974,7.08784e-05,7.08784e-05,7.08784e-05
74,3721.18,1.1321,0.54448,0.96767,0.65942,0.77587,0.75657,0.52929,1.49216,1.27624,1.38212,5.20156e-05,5.20156e-05,5.20156e-05
75,3770.79,1.11334,0.53632,0.96574,0.65881,0.76654,0.74073,0.5167,1.51657,1.36627,1.3947,3.31528e-05,3.31528e-05,3.31528e-05
